기업명,분기라벨,ROE,ROA,영업이익률,순이익률,EPS,부채비율,유동비율,유동자산,자기자본비율,매출액,매출액 성장률,당기순이익,순이익 성장률,수익성점수,안정성점수,성장성점수
삼성전자,2022_Q1,3.59,2.58,18.16,14.56,5590.895,39.34,256.86,232369082000000,71.77,77781498000000,-72.18162982960818,11324628000000,-71.62277218915266,1125.957,124.975,-71.90220100938042
삼성전자,2022_Q2,3.38,2.48,18.26,14.38,1859.16,36.64,283.45,236287491000000,73.19,77203607000000,-0.7429671771042479,11098805000000,-1.994087576210013,379.53200000000004,141.68,-1.3685273766571304
삼성전자,2022_Q3,2.72,2.0,14.13,12.23,5590.895,36.35,294.17,250880637000000,73.34,76781680000000,-0.5465120301956894,9389198000000,-15.403523172089251,1124.395,147.405,-7.97501760114247
삼성전자,2022_Q4,15.69,12.41,14.35,18.41,9322.63,26.41,278.86,218470581000000,79.11,302231360000000,293.62431246620287,55654077000000,492.7458021441235,1876.6979999999999,152.57500000000002,393.1850573051632
삼성전자,2023_Q1,0.44,0.35,1.0,2.47,1441.485,26.21,281.95,214442141000000,79.23,63745371000000,-78.90841936455568,1574600000000,-97.17073737472998,289.149,154.38,-88.03957836964284
삼성전자,2023_Q2,0.48,0.38,1.11,2.87,288.72,24.8,288.18,203975373000000,80.13,60005533000000,-5.866838550520004,1723571000000,9.460878953384988,58.712,159.355,1.7970202014324919
삼성전자,2023_Q3,1.61,1.29,3.61,8.67,1441.485,24.89,280.39,206438600000000,80.07,67404652000000,12.330727901375372,5844171000000,239.07341211937307,291.33299999999997,155.33999999999997,125.70207001037423
삼성전자,2023_Q4,4.26,3.4,2.54,5.98,2594.25,25.36,258.77,195936557000000,79.77,258935494000000,284.1507764182211,15487100000000,165.00080165347663,522.086,143.90999999999997,224.57578903584886
삼성전자,2024_Q1,1.82,1.43,9.19,9.39,3709.745,26.61,255.04,208544280000000,78.98,71915601000000,-72.22644146267565,6754708000000,-56.38493972402839,746.3149999999999,140.39999999999998,-64.30569059335203
삼성전자,2024_Q2,2.57,2.03,14.1,13.29,1648.53,26.66,258.26,217858103000000,78.95,74068302000000,2.9933713548469187,9841345000000,45.69608338361925,336.104,141.945,24.344727369233087
삼성전자,2024_Q3,2.61,2.06,11.61,12.77,3709.745,27.19,251.9,219235111000000,78.62,79098731000000,6.791608372499214,10100904000000,2.637434212498402,747.759,138.07,4.714521292498808
삼성전자,2024_Q4,8.57,6.7,10.88,11.45,5770.96,27.93,243.3,227062266000000,78.17,300870903000000,280.37386845055704,34451351000000,241.07195751984185,1161.712,132.805,260.72291298519946
삼성전자,2025_Q1,2.02,1.59,8.45,10.39,1377.42,26.99,246.66,222685717000000,78.74,79140503000000,-73.6961925494005,8222878000000,-76.1319142462657,279.97400000000005,135.70999999999998,-74.9140533978331
SK하이닉스,2022_Q1,3.13,1.99,23.52,16.31,3515.435,56.89,166.68,27767761000000,63.74,12155653000000,-71.72958788209404,1982928000000,-79.37927170309067,712.077,58.32000000000001,-75.55442979259234
SK하이닉스,2022_Q2,4.31,2.76,30.36,20.83,3951.66,56.0,176.17,29719276000000,64.1,13811001000000,13.617927395591176,2876821000000,45.0794481695755,801.984,64.13499999999999,29.348687782583337
SK하이닉스,2022_Q3,1.6,1.01,15.07,10.04,3515.435,59.4,173.51,31896913000000,62.73,10982883000000,-20.47728473844872,1102653000000,-61.67112934728994,708.631,58.71999999999999,-41.07420704286933
